time,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity
4.425114870071411,"(0.3531460464000702, 0.5982353687286377)",1,"(0.3604896366596222, 0.6190600395202637)",1,2.98974609375,1,2.764556884765625,1
4.441116809844971,"(0.35442742705345154, 0.5971720814704895)",1,"(0.35943603515625, 0.6217771172523499)",1,2.981048583984375,1,2.7641448974609375,1
4.458150863647461,"(0.35759252309799194, 0.6036820411682129)",1,"(0.36193034052848816, 0.6268289685249329)",1,2.987091064453125,1,2.7778778076171875,1
4.474539279937744,"(0.35559970140457153, 0.605671763420105)",1,"(0.3672506511211395, 0.6262087225914001)",1,2.9940338134765625,1,2.7881011962890625,1
4.491361141204834,"(0.35313642024993896, 0.6041521430015564)",1,"(0.37089258432388306, 0.6215624213218689)",1,2.991241455078125,1,2.7901458740234375,1
4.508072376251221,"(0.3532312512397766, 0.6045500040054321)",1,"(0.374616414308548, 0.6074942350387573)",1,2.9964447021484375,1,2.7787628173828125,1
4.524889945983887,"(0.3506223261356354, 0.5994886159896851)",1,"(0.42058128118515015, 0.6050313115119934)",1,2.938232421875,1,2.767852783203125,1
4.540992736816406,"(0.49079445004463196, 0.6136300563812256)",1,"(0.493351012468338, 0.6059716939926147)",1,2.988433837890625,1,2.769317626953125,1
4.558477163314819,"(0.4878869950771332, 0.6113078594207764)",1,"(0.5063447952270508, 0.6093848943710327)",1,3.016357421875,1,2.767974853515625,1
4.574571371078491,"(0.48838314414024353, 0.6064128279685974)",1,"(0.5040572285652161, 0.610970139503479)",1,3.0047454833984375,1,2.7625274658203125,1
4.591739654541016,"(0.4900820553302765, 0.6021362543106079)",1,"(0.5026145577430725, 0.6036639213562012)",1,3.015533447265625,1,2.757476806640625,1
4.607951641082764,"(0.489342600107193, 0.5992552042007446)",1,"(0.5005133152008057, 0.5938973426818848)",1,3.01055908203125,1,2.7554473876953125,1
4.625048637390137,"(0.4871581494808197, 0.5963296294212341)",1,"(0.5039677023887634, 0.5969183444976807)",1,3.006927490234375,1,2.7526702880859375,1
