timestamp,image_name,key
2023-11-22 15:51:46.950761,807715.jpg,
2023-11-22 15:51:51.882313,,f
2023-11-22 15:51:52.018774,807887.jpg,
2023-11-22 15:51:52.132403,,j
2023-11-22 15:51:52.372380,,d
2023-11-22 15:51:52.507463,,i
2023-11-22 15:51:52.674026,,s
2023-11-22 15:51:52.703630,,d
2023-11-22 15:51:52.837363,,f
2023-11-22 15:51:52.866900,,j
2023-11-22 15:51:53.077808,,i
2023-11-22 15:51:54.127558,,t
2023-11-22 15:51:54.188224,,h
2023-11-22 15:51:54.218455,,i
2023-11-22 15:51:54.367901,,n
2023-11-22 15:51:54.501625,,g
2023-11-22 15:51:54.606619,,Key.space
2023-11-22 15:51:54.817016,,h
2023-11-22 15:51:54.922779,,a
2023-11-22 15:51:54.969367,,s
2023-11-22 15:51:55.073478,,Key.space
2023-11-22 15:51:55.357225,,b
2023-11-22 15:51:55.568445,,e
2023-11-22 15:51:55.672178,,e
2023-11-22 15:51:55.838877,,n
2023-11-22 15:51:55.972758,,Key.space
2023-11-22 15:51:56.242395,,s
2023-11-22 15:51:56.319107,,o
2023-11-22 15:51:56.392593,,Key.space
2023-11-22 15:51:56.843569,,w
2023-11-22 15:51:57.060992,807831.jpg,
2023-11-22 15:51:57.142217,,r
2023-11-22 15:51:57.262873,,o
2023-11-22 15:51:57.382363,,n
2023-11-22 15:51:57.501362,,g
2023-11-22 15:51:57.547065,,Key.space
2023-11-22 15:51:58.237559,,i
2023-11-22 15:51:58.341507,,n
2023-11-22 15:51:58.417721,,Key.space
2023-11-22 15:51:58.641832,,t
2023-11-22 15:51:58.716580,,h
2023-11-22 15:51:58.791232,,i
2023-11-22 15:51:58.911643,,s
2023-11-22 15:51:59.136881,,Key.space
2023-11-22 15:51:59.737325,,g
2023-11-22 15:51:59.842217,,a
2023-11-22 15:52:00.158110,,m
2023-11-22 15:52:00.246506,,e
2023-11-22 15:52:00.397677,,Key.space
2023-11-22 15:52:00.893094,,s
2023-11-22 15:52:00.924298,,o
2023-11-22 15:52:01.027757,,Key.space
2023-11-22 15:52:01.329225,,p
2023-11-22 15:52:01.521466,,l
2023-11-22 15:52:01.627705,,e
2023-11-22 15:52:01.882651,,a
2023-11-22 15:52:02.092380,,s
2023-11-22 15:52:02.126165,807793.jpg,
2023-11-22 15:52:02.197929,,e
2023-11-22 15:52:02.467114,,Key.space
2023-11-22 15:52:03.368333,,t
2023-11-22 15:52:03.384465,,h
2023-11-22 15:52:03.488735,,i
2023-11-22 15:52:03.637147,,n
2023-11-22 15:52:03.801269,,k
2023-11-22 15:52:04.041399,,Key.space
2023-11-22 15:52:04.341774,,t
2023-11-22 15:52:04.401240,,h
2023-11-22 15:52:04.491941,,a
2023-11-22 15:52:04.552003,,t
2023-11-22 15:52:04.971781,,Key.space
2023-11-22 15:52:05.197220,,Key.shift
2023-11-22 15:52:05.271578,,I
2023-11-22 15:52:05.348513,,Key.space
2023-11-22 15:52:05.497774,,c
2023-11-22 15:52:05.617515,,a
2023-11-22 15:52:05.752926,,n
2023-11-22 15:52:05.872072,,Key.space
2023-11-22 15:52:06.097423,,s
2023-11-22 15:52:06.516948,,Key.backspace
2023-11-22 15:52:07.042643,,d
2023-11-22 15:52:07.072033,,o
2023-11-22 15:52:07.160567,,Key.space
2023-11-22 15:52:07.174896,807719.jpg,
2023-11-22 15:52:07.417816,,a
2023-11-22 15:52:07.418391,,Key.space
2023-11-22 15:52:07.792309,,f
2023-11-22 15:52:08.182382,,a
2023-11-22 15:52:08.436770,,s
2023-11-22 15:52:08.826616,,t
2023-11-22 15:52:08.946388,,e
2023-11-22 15:52:09.023191,,r
2023-11-22 15:52:09.233667,,Key.space
2023-11-22 15:52:09.983940,,m
2023-11-22 15:52:10.102292,,o
2023-11-22 15:52:10.178329,,v
2023-11-22 15:52:10.312283,,e
2023-11-22 15:52:10.478633,,Key.space
2023-11-22 15:52:11.272157,,f
2023-11-22 15:52:11.376552,,o
2023-11-22 15:52:11.452669,,r
2023-11-22 15:52:11.526280,,Key.space
2023-11-22 15:52:12.171812,,Key.shift
2023-11-22 15:52:12.215723,807798.jpg,
2023-11-22 15:52:12.232236,,I
2023-11-22 15:52:12.442145,,Key.space
2023-11-22 15:52:12.697513,,w
2023-11-22 15:52:13.070692,,i
2023-11-22 15:52:13.282872,,l
2023-11-22 15:52:13.432078,,l
2023-11-22 15:52:13.553572,,Key.space
2023-11-22 15:52:13.791856,,b
2023-11-22 15:52:13.913313,,e
2023-11-22 15:52:13.971967,,Key.space
2023-11-22 15:52:15.053361,,h
2023-11-22 15:52:16.057797,,s
2023-11-22 15:52:16.237350,,u
2023-11-22 15:52:16.326202,,p
2023-11-22 15:52:16.539049,,e
2023-11-22 15:52:16.611417,,r
2023-11-22 15:52:16.972083,,Key.space
2023-11-22 15:52:17.268477,807870.jpg,
2023-11-22 15:52:17.468236,,c
2023-11-22 15:52:17.631485,,o
2023-11-22 15:52:17.781436,,m
2023-11-22 15:52:18.714687,,i
2023-11-22 15:52:18.817363,,n
2023-11-22 15:52:19.117074,,f
2023-11-22 15:52:19.176367,,i
2023-11-22 15:52:19.552468,,d
2023-11-22 15:52:19.643611,,e
2023-11-22 15:52:19.762005,,n
2023-11-22 15:52:20.092164,,t
2023-11-22 15:52:20.331917,,Key.space
