timestamp,image_name,key
2023-12-11 18:33:18.479826,,Key.shift_r
2023-12-11 18:33:23.061665,,Key.enter
2023-12-11 18:33:23.174887,807724.jpg,
2023-12-11 18:33:28.205905,807715.jpg,
2023-12-11 18:33:33.261597,807895.jpg,
2023-12-11 18:33:38.328394,807859.jpg,
2023-12-11 18:33:43.363510,807827.jpg,
2023-12-11 18:33:48.395720,807752.jpg,
2023-12-11 18:33:53.428378,807785.jpg,
2023-12-11 18:33:58.484184,807862.jpg,
2023-12-11 18:34:03.516843,807831.jpg,
2023-12-11 18:34:08.578348,807829.jpg,
2023-12-11 18:34:13.629416,807838.jpg,
2023-12-11 18:34:18.669882,807887.jpg,
2023-12-11 18:34:23.733153,807721.jpg,
2023-12-11 18:34:28.778461,807833.jpg,
2023-12-11 18:34:33.845056,807793.jpg,
2023-12-11 18:34:38.894968,807872.jpg,
2023-12-11 18:34:43.928285,807719.jpg,
2023-12-11 18:34:48.961828,807798.jpg,
2023-12-11 18:34:53.995041,807870.jpg,
2023-12-11 18:34:59.045043,807731.jpg,
