time,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity
0.7266392707824707,"(0.47601041197776794, 0.6451045274734497)",1,"(0.4894968271255493, 0.6151440143585205)",1,3.214324951171875,1,2.99932861328125,1
0.7436740398406982,"(0.4760516881942749, 0.6459356546401978)",1,"(0.48678991198539734, 0.6218661069869995)",1,3.2212677001953125,1,3.0048370361328125,1
0.7599930763244629,"(0.47584864497184753, 0.6406334042549133)",1,"(0.4837624132633209, 0.6228216290473938)",1,3.2140655517578125,1,3.01934814453125,1
0.7765390872955322,"(0.47892436385154724, 0.6360455751419067)",1,"(0.48526135087013245, 0.6261515617370605)",1,3.2109222412109375,1,3.016632080078125,1
0.7932007312774658,"(0.48088565468788147, 0.6446825861930847)",1,"(0.4844808280467987, 0.6396777629852295)",1,3.213714599609375,1,2.996124267578125,1
0.8101005554199219,"(0.4821748733520508, 0.6540837287902832)",1,"(0.4850497841835022, 0.6429122090339661)",1,3.2225189208984375,1,2.989990234375,1
0.8269040584564209,"(0.4838545024394989, 0.6572016477584839)",1,"(0.4814068675041199, 0.6438077092170715)",1,3.2263641357421875,1,3.01043701171875,1
0.8434793949127197,"(0.48810699582099915, 0.6576603651046753)",1,"(0.48003703355789185, 0.6464138031005859)",1,3.235260009765625,1,3.0209197998046875,1
0.8600988388061523,"(0.4884044826030731, 0.664535403251648)",1,"(0.4820749759674072, 0.6442883014678955)",1,3.2425689697265625,1,3.025054931640625,1
0.8766593933105469,"(0.48648080229759216, 0.6735275983810425)",1,"(0.4839116334915161, 0.6492413282394409)",1,3.2478790283203125,1,3.028106689453125,1
0.8934769630432129,"(0.4869876205921173, 0.6703634262084961)",1,"(0.4903768002986908, 0.6507205963134766)",1,3.2439727783203125,1,3.02825927734375,1
0.9100463390350342,"(0.4860300123691559, 0.6682354211807251)",1,"(0.48829078674316406, 0.6500195264816284)",1,3.2475738525390625,1,3.017181396484375,1
0.9266583919525146,"(0.4872102737426758, 0.6680837869644165)",1,"(0.4834009110927582, 0.6614295244216919)",1,3.246734619140625,1,2.9963531494140625,1
0.9433424472808838,"(0.4862609803676605, 0.6806306838989258)",1,"(0.4877849817276001, 0.6652276515960693)",1,3.2386474609375,1,3.010040283203125,1
0.9599905014038086,"(0.4819714426994324, 0.6933975219726562)",1,"(0.4917110502719879, 0.6658260226249695)",1,3.2373046875,1,3.015472412109375,1
0.9769420623779297,"(0.4842774569988251, 0.6977806687355042)",1,"(0.48481661081314087, 0.6634936928749084)",1,3.236358642578125,1,2.9852142333984375,1
0.9932777881622314,"(0.4875054657459259, 0.7001358866691589)",1,"(0.484485000371933, 0.6687043905258179)",1,3.2198333740234375,1,2.977783203125,1
1.0102629661560059,"(0.4844732880592346, 0.6988648176193237)",1,"(0.48745855689048767, 0.6793798208236694)",1,3.201263427734375,1,2.984344482421875,1
1.0266244411468506,"(0.4842209219932556, 0.700923502445221)",1,"(0.4866798222064972, 0.6793047189712524)",1,3.201324462890625,1,2.9654693603515625,1
1.0434532165527344,"(0.4839431345462799, 0.7007916569709778)",1,"(0.4910006821155548, 0.6780923008918762)",1,3.2119903564453125,1,2.96929931640625,1
1.0598797798156738,"(0.485373318195343, 0.7065613269805908)",1,"(0.4868156313896179, 0.6873759627342224)",1,3.2021331787109375,1,2.9903564453125,1
1.0769474506378174,"(0.4825648069381714, 0.7182572484016418)",1,"(0.4841742515563965, 0.6974697113037109)",1,3.184295654296875,1,2.9832916259765625,1
1.0934970378875732,"(0.4802462160587311, 0.7258836030960083)",1,"(0.4817938506603241, 0.7160191535949707)",1,3.1764678955078125,1,2.961517333984375,1
1.1100740432739258,"(0.4778252840042114, 0.738196074962616)",1,"(0.4799175262451172, 0.7296035289764404)",1,3.1759185791015625,1,2.9665069580078125,1
1.1268508434295654,"(0.479541152715683, 0.7533847093582153)",1,"(0.4782986044883728, 0.7310569286346436)",1,3.17498779296875,1,2.9757232666015625,1
1.1434106826782227,"(0.4881764054298401, 0.7669006586074829)",1,"(0.4773745834827423, 0.7242299318313599)",1,3.1703338623046875,1,2.967315673828125,1
1.1596720218658447,"(0.4849041998386383, 0.7687081694602966)",1,"(0.47691649198532104, 0.731144368648529)",1,3.1589813232421875,1,2.945037841796875,1
1.1762888431549072,"(0.4817432463169098, 0.7675285935401917)",1,"(0.473563551902771, 0.7333554625511169)",1,3.149871826171875,1,2.9456787109375,1
1.193110704421997,"(0.48118531703948975, 0.7728285193443298)",1,"(0.4785318970680237, 0.7346020340919495)",1,3.15911865234375,1,2.9526214599609375,1
1.2098655700683594,"(0.4822597801685333, 0.7686705589294434)",1,"(0.4804859757423401, 0.7428780198097229)",1,3.1617279052734375,1,2.964935302734375,1
1.2262301445007324,"(0.4848840832710266, 0.7648881077766418)",1,"(0.47872260212898254, 0.7458205819129944)",1,3.1435394287109375,1,2.955474853515625,1
1.2430648803710938,"(0.48344582319259644, 0.772472083568573)",1,"(0.4792490005493164, 0.7496187686920166)",1,3.13995361328125,1,2.94342041015625,1
1.2597317695617676,"(0.4850265681743622, 0.7759081125259399)",1,"(0.4765828847885132, 0.7538464069366455)",1,3.133209228515625,1,2.955596923828125,1
1.2765371799468994,"(0.4868566393852234, 0.7808971405029297)",1,"(0.4819602072238922, 0.7653152942657471)",1,3.13055419921875,1,2.9825897216796875,1
1.293050765991211,"(0.4822610914707184, 0.781241238117218)",1,"(0.4892885088920593, 0.7691426277160645)",1,3.1270294189453125,1,2.9532623291015625,1
1.309781551361084,"(0.48077744245529175, 0.777945339679718)",1,"(0.4843309223651886, 0.7605405449867249)",1,3.1077423095703125,1,2.944000244140625,1
1.3264007568359375,"(0.4805385172367096, 0.7876144051551819)",1,"(0.48732998967170715, 0.7624394297599792)",1,3.106689453125,1,2.9474334716796875,1
1.3429477214813232,"(0.4879927337169647, 0.7990258932113647)",1,"(0.49039432406425476, 0.7691468000411987)",1,3.1063690185546875,1,2.917938232421875,1
1.3597049713134766,"(0.4920431971549988, 0.8038536310195923)",1,"(0.49033835530281067, 0.762858510017395)",1,3.098541259765625,1,2.9098663330078125,1
1.376431941986084,"(0.48983609676361084, 0.8058339357376099)",1,"(0.4906397759914398, 0.7623694539070129)",1,3.08197021484375,1,2.9080657958984375,1
1.3929743766784668,"(0.49003204703330994, 0.8133637309074402)",1,"(0.4912049472332001, 0.7779685854911804)",1,3.0710906982421875,1,2.887451171875,1
1.4099512100219727,"(0.48995542526245117, 0.8204054832458496)",1,"(0.4920918643474579, 0.7836456894874573)",1,3.085906982421875,1,2.8841094970703125,1
1.4262840747833252,"(0.49145230650901794, 0.8229828476905823)",1,"(0.4980575442314148, 0.7988327145576477)",1,3.07745361328125,1,2.878326416015625,1
1.4431593418121338,"(0.49078282713890076, 0.8283002376556396)",1,"(0.5036013722419739, 0.8403040766716003)",1,3.0703125,1,2.9571533203125,1
1.4598724842071533,"(0.4933279752731323, 0.8355062007904053)",1,"(0.4999619126319885, 0.8501254916191101)",1,3.0626068115234375,1,2.9585418701171875,1
