time,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity,fixation_center,eye_state
0.0,"(0.24969086050987244, 0.8148979544639587)",1,"(0.23310121893882751, 0.8326534628868103)",1,3.843353271484375,1,3.37542724609375,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.0152399539947509,"(0.25297412276268005, 0.820127546787262)",1,"(0.2320987433195114, 0.8284080624580383)",1,3.840911865234375,1,3.3765869140625,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.044053316116333,"(0.25143998861312866, 0.8194164037704468)",1,"(0.22801339626312256, 0.826330840587616)",1,3.832565307617188,1,3.368927001953125,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.0612576007843017,"(0.24694809317588806, 0.8131258487701416)",1,"(0.22522854804992676, 0.819544792175293)",1,3.83514404296875,1,3.358154296875,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.0767214298248291,"(0.24669311940670013, 0.8086984157562256)",1,"(0.2238197922706604, 0.8083459138870239)",1,3.8309326171875,1,3.3662872314453125,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.0938127040863037,"(0.24632824957370758, 0.8066766262054443)",1,"(0.22373400628566742, 0.8095610737800598)",1,3.8180999755859375,1,3.377838134765625,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.1104974746704101,"(0.24571767449378967, 0.8063110709190369)",1,"(0.22582854330539703, 0.8136536478996277)",1,3.8205413818359375,1,3.3678436279296875,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.1272675991058349,"(0.2451348602771759, 0.804904580116272)",1,"(0.2266356647014618, 0.814243495464325)",1,3.826736450195313,1,3.359588623046875,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.1438953876495361,"(0.2462911605834961, 0.805014967918396)",1,"(0.22475479543209076, 0.8167787790298462)",1,3.827224731445313,1,3.364120483398437,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.1614575386047363,"(0.24585935473442078, 0.8080479502677917)",1,"(0.22379152476787567, 0.8173417448997498)",1,3.8250732421875,1,3.358184814453125,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.1771519184112548,"(0.24445773661136627, 0.8078000545501709)",1,"(0.22501017153263092, 0.8164322972297668)",1,3.827682495117188,1,3.3526763916015625,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.193817138671875,"(0.2398146092891693, 0.8086907267570496)",1,"(0.2228681445121765, 0.8167057633399963)",1,3.82562255859375,1,3.3604278564453125,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.2106225490570068,"(0.23808985948562622, 0.8052890300750732)",1,"(0.2207280844449997, 0.8132848739624023)",1,3.8165130615234375,1,3.35833740234375,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.2272329330444336,"(0.24016942083835602, 0.8087233901023865)",1,"(0.2211844027042389, 0.8144698739051819)",1,3.809295654296875,1,3.3494873046875,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.2437577247619629,"(0.2415032833814621, 0.8122516870498657)",1,"(0.22441083192825317, 0.8140425086021423)",1,3.802886962890625,1,3.3436279296875,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.2604260444641113,"(0.24230709671974182, 0.8073188066482544)",1,"(0.2248472273349762, 0.8132864832878113)",1,3.8002777099609375,1,3.3387908935546875,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.2772829532623291,"(0.24074237048625946, 0.8051850199699402)",1,"(0.2245146781206131, 0.820686399936676)",1,3.792816162109375,1,3.321075439453125,1,"(0.24495069770252004, 0.8095576517722186)",Fixation
0.2938089370727539,"(0.23468981683254242, 0.8035895824432373)",1,"(0.21852503716945648, 0.8264297842979431)",1,3.7790374755859375,1,3.29656982421875,1,"(None, None)",Saccade
0.3116161823272705,"(0.47626498341560364, 0.6838453412055969)",1,"(None, None)",0,3.8109283447265625,1,,0,"(None, None)",Saccade
0.3270950317382812,"(0.52390056848526, 0.6867977976799011)",1,"(0.579694926738739, 0.6957929730415344)",1,3.824493408203125,1,3.3468780517578125,1,"(None, None)",Saccade
