timestamp,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity
2023-12-11 18:33:12.451774,"(0.0828363224864006, 0.48060721158981323)",1,"(0.09098388999700546, 0.46068206429481506)",1,5.2971649169921875,1,4.941192626953125,1
2023-12-11 18:33:12.468654,"(0.08548753708600998, 0.47557953000068665)",1,"(0.09218932688236237, 0.4651195704936981)",1,5.2933807373046875,1,4.9463043212890625,1
2023-12-11 18:33:12.495662,"(0.08822214603424072, 0.4705851674079895)",1,"(0.09105724841356277, 0.45844951272010803)",1,5.295440673828125,1,4.943359375,1
2023-12-11 18:33:12.514012,"(0.08490195870399475, 0.47556424140930176)",1,"(0.09302613884210587, 0.4627072215080261)",1,5.29229736328125,1,4.942901611328125,1
2023-12-11 18:33:12.530677,"(0.08472783118486404, 0.4784022271633148)",1,"(0.09154107421636581, 0.4695296883583069)",1,5.29290771484375,1,4.942535400390625,1
2023-12-11 18:33:12.547094,"(0.08529698848724365, 0.48035281896591187)",1,"(0.09254788607358932, 0.4719444215297699)",1,5.3006744384765625,1,4.9399871826171875,1
2023-12-11 18:33:12.562544,"(0.0871519222855568, 0.48277023434638977)",1,"(0.09670072793960571, 0.4681118130683899)",1,5.2992401123046875,1,4.93701171875,1
2023-12-11 18:33:12.580581,"(0.08611874282360077, 0.48189184069633484)",1,"(0.0940885990858078, 0.46627601981163025)",1,5.2961273193359375,1,4.931884765625,1
2023-12-11 18:33:12.597031,"(0.08675526082515717, 0.485232412815094)",1,"(0.09388338774442673, 0.4663938581943512)",1,5.29290771484375,1,4.933013916015625,1
2023-12-11 18:33:12.613373,"(0.10689177364110947, 0.48209813237190247)",1,"(0.09171763807535172, 0.45975375175476074)",1,5.2985687255859375,1,4.913238525390625,1
2023-12-11 18:33:12.630406,"(0.14359897375106812, 0.48518285155296326)",1,"(0.1752079874277115, 0.4760735332965851)",1,5.3016815185546875,1,4.876922607421875,1
2023-12-11 18:33:12.646778,"(0.18591313064098358, 0.5097507238388062)",1,"(0.18004079163074493, 0.4741681218147278)",1,5.276702880859375,1,4.9075164794921875,1
2023-12-11 18:33:12.662039,"(0.19230245053768158, 0.5162082314491272)",1,"(0.18077388405799866, 0.4776441752910614)",1,5.2731781005859375,1,4.9043426513671875,1
2023-12-11 18:33:12.680042,"(0.19590260088443756, 0.5093877911567688)",1,"(0.18118561804294586, 0.4811892509460449)",1,5.272186279296875,1,4.9103851318359375,1
2023-12-11 18:33:12.697328,"(0.19668303430080414, 0.5023697018623352)",1,"(0.18233613669872284, 0.4798825681209564)",1,5.2822113037109375,1,4.9164276123046875,1
2023-12-11 18:33:12.712426,"(0.19204044342041016, 0.4978069067001343)",1,"(0.1846485137939453, 0.4777458906173706)",1,5.2795257568359375,1,4.936920166015625,1
2023-12-11 18:33:12.730682,"(0.19075432419776917, 0.5025968551635742)",1,"(0.18420426547527313, 0.4741917848587036)",1,5.28631591796875,1,4.9478912353515625,1
2023-12-11 18:33:12.747418,"(0.18835479021072388, 0.500976026058197)",1,"(0.18022261559963226, 0.47499340772628784)",1,5.2994842529296875,1,4.94085693359375,1
2023-12-11 18:33:12.762753,"(0.18662017583847046, 0.49771082401275635)",1,"(0.17767119407653809, 0.4769333004951477)",1,5.3065948486328125,1,4.9459686279296875,1
2023-12-11 18:33:12.780441,"(0.1853514164686203, 0.5016846656799316)",1,"(0.17660780251026154, 0.47485390305519104)",1,5.3074798583984375,1,4.9427947998046875,1
2023-12-11 18:33:12.797259,"(0.18611712753772736, 0.5016458034515381)",1,"(0.17688803374767303, 0.47273775935173035)",1,5.3108673095703125,1,4.945709228515625,1
2023-12-11 18:33:12.813825,"(0.18326878547668457, 0.4956900477409363)",1,"(0.17485202848911285, 0.4714948832988739)",1,5.3186798095703125,1,4.943359375,1
2023-12-11 18:33:12.829792,"(0.1842128187417984, 0.49546170234680176)",1,"(0.1748494952917099, 0.4726559519767761)",1,5.321014404296875,1,4.9447174072265625,1
2023-12-11 18:33:12.847540,"(0.18543080985546112, 0.49662113189697266)",1,"(0.17561520636081696, 0.4755883812904358)",1,5.3191070556640625,1,4.9482421875,1
2023-12-11 18:33:12.863025,"(0.1849718987941742, 0.49910062551498413)",1,"(0.17475061118602753, 0.47205233573913574)",1,5.3162841796875,1,4.9430694580078125,1
2023-12-11 18:33:12.880523,"(0.18658502399921417, 0.5067097544670105)",1,"(0.175324484705925, 0.4728432297706604)",1,5.327392578125,1,4.9330596923828125,1
