timestamp,left_gaze_point_on_display_area,left_gaze_point_validity,right_gaze_point_on_display_area,right_gaze_point_validity,left_pupil_diameter,left_pupil_validity,right_pupil_diameter,right_pupil_validity,stimuli
2023-12-04 22:45:20.944291,"(0.6812095642089844, 0.25884732604026794)",1,"(0.6498287916183472, 0.15653784573078156)",1,3.872467041015625,1,3.339096069335937,1,
2023-12-04 22:45:20.959742,"(0.6812095642089844, 0.25884732604026794)",1,"(0.6498287916183472, 0.15653784573078156)",1,3.872467041015625,1,3.339096069335937,1,
2023-12-04 22:45:20.976834,"(0.6826227903366089, 0.27442222833633423)",1,"(0.6545567512512207, 0.16234849393367767)",1,3.835906982421875,1,3.3366241455078125,1,
2023-12-04 22:45:20.993572,"(0.6694901585578918, 0.2528332769870758)",1,"(0.6545567512512207, 0.16234849393367767)",1,3.8092041015625,1,3.3366241455078125,1,
2023-12-04 22:45:21.010498,"(0.6647310853004456, 0.25130054354667664)",1,"(0.6728435158729553, 0.17146332561969757)",1,3.786056518554688,1,3.29779052734375,1,
2023-12-04 22:45:21.026670,"(0.6619311571121216, 0.25115013122558594)",1,"(0.6986193656921387, 0.16434167325496674)",1,3.780227661132813,1,3.29437255859375,1,
2023-12-04 22:45:21.043764,"(0.6612079739570618, 0.24911628663539886)",1,"(0.6908543109893799, 0.16642038524150848)",1,3.771163940429688,1,3.29083251953125,1,
2023-12-04 22:45:21.059496,"(0.6581419110298157, 0.2468300610780716)",1,"(0.655674397945404, 0.17605629563331604)",1,3.769119262695313,1,3.2897491455078125,1,
2023-12-04 22:45:21.077159,"(0.6572692394256592, 0.2459595501422882)",1,"(0.6558154225349426, 0.19039486348628998)",1,3.7597503662109375,1,3.3007354736328125,1,
2023-12-04 22:45:21.093435,"(0.6572472453117371, 0.24262748658657074)",1,"(0.6897311806678772, 0.18307673931121826)",1,3.75396728515625,1,3.29241943359375,1,
2023-12-04 22:45:21.110496,"(0.6556596755981445, 0.24190953373908997)",1,"(0.6901863217353821, 0.1864432990550995)",1,3.7576904296875,1,3.286712646484375,1,
2023-12-04 22:45:21.126166,"(0.6667378544807434, 0.2641121447086334)",1,"(0.6891979575157166, 0.1878666877746582)",1,3.760208129882813,1,3.2848358154296875,1,
2023-12-04 22:45:21.143824,"(0.6706117391586304, 0.2599979341030121)",1,"(0.6876466870307922, 0.18490558862686157)",1,3.766525268554688,1,3.2859649658203125,1,
2023-12-04 22:45:21.159493,"(0.6706117391586304, 0.2599979341030121)",1,"(0.6526995301246643, 0.19144180417060852)",1,3.766525268554688,1,3.2904815673828125,1,
2023-12-04 22:45:21.177162,"(0.6570078134536743, 0.30357107520103455)",1,"(0.6539339423179626, 0.18697236478328705)",1,3.784988403320313,1,3.31817626953125,1,
